context_length,prediction_horizon,output_type,model,rmse_s,mae_s,ks
2048,256,Direct,Chronos-2,0.056750617921352386,0.03881899267435074,0.52490234375
2048,256,Direct,TimesFM,0.03133925795555115,0.023114122450351715,0.5224609375
2048,256,Direct,Moirai 2.0,0.3487240672111511,0.24787333607673645,0.5421142578125
2048,256,Extracted,Chronos-2,0.052986953407526016,0.029560809955000877,0.6236979166666666
2048,256,Extracted,TimesFM,0.10219369828701019,0.05536511540412903,0.5911458333333333
2048,256,Extracted,Moirai 2.0,0.09432179480791092,0.0641741082072258,0.7008547008547008
2048,512,Direct,Chronos-2,0.21488918364048004,0.1540502905845642,0.5697021484375
2048,512,Direct,TimesFM,0.049733567982912064,0.038592979311943054,0.525146484375
2048,512,Direct,Moirai 2.0,0.4493268132209778,0.37145933508872986,0.740234375
2048,512,Extracted,Chronos-2,0.10190104693174362,0.05061383917927742,0.5970137207425343
2048,512,Extracted,TimesFM,0.1165606826543808,0.06071783974766731,0.5346354166666667
2048,512,Extracted,Moirai 2.0,0.08203922212123871,0.05055803433060646,0.5884259259259258
2048,1024,Direct,Chronos-2,0.42996177077293396,0.29869648814201355,0.584930419921875
2048,1024,Direct,TimesFM,0.2076805680990219,0.07787594944238663,0.57952880859375
2048,1024,Direct,Moirai 2.0,0.4249865412712097,0.2897753119468689,0.725677490234375
2048,1024,Extracted,Chronos-2,0.23125991225242615,0.08675986528396606,0.5784695696460402
2048,1024,Extracted,TimesFM,0.12427380681037903,0.07098577171564102,0.5831150331150332
2048,1024,Extracted,Moirai 2.0,0.08912011981010437,0.05575587600469589,0.6702648541934256
4096,256,Direct,Chronos-2,0.06591551005840302,0.04736509174108505,0.580810546875
4096,256,Direct,TimesFM,0.03585485368967056,0.02603146620094776,0.5328369140625
4096,256,Direct,Moirai 2.0,0.40488213300704956,0.31435316801071167,0.7025146484375
4096,256,Extracted,Chronos-2,0.07067448645830154,0.040298376232385635,0.6759259259259259
4096,256,Extracted,TimesFM,0.08523892611265182,0.05452806130051613,0.62109375
4096,256,Extracted,Moirai 2.0,0.09336884319782257,0.0661868005990982,0.6875
4096,512,Direct,Chronos-2,0.1678285449743271,0.11417999118566513,0.5374755859375
4096,512,Direct,TimesFM,0.05149240791797638,0.04052049294114113,0.5394287109375
4096,512,Direct,Moirai 2.0,0.4577152132987976,0.39140820503234863,0.780517578125
4096,512,Extracted,Chronos-2,0.17221468687057495,0.0658211037516594,0.649726775956284
4096,512,Extracted,TimesFM,0.09634853899478912,0.05693750083446503,0.5545014880952381
4096,512,Extracted,Moirai 2.0,0.08381007611751556,0.05286458507180214,0.7212962962962963
4096,1024,Direct,Chronos-2,0.4244380295276642,0.28740158677101135,0.576751708984375
4096,1024,Direct,TimesFM,0.2085772007703781,0.07991928607225418,0.5673828125
4096,1024,Direct,Moirai 2.0,0.42240458726882935,0.2882550358772278,0.747344970703125
4096,1024,Extracted,Chronos-2,0.30498501658439636,0.10226871818304062,0.6191699604743083
4096,1024,Extracted,TimesFM,0.12164300680160522,0.0706033930182457,0.5667963756673435
4096,1024,Extracted,Moirai 2.0,0.16326087713241577,0.07570876181125641,0.7918367346938775
8192,256,Direct,Chronos-2,0.0790337547659874,0.06122400239109993,0.747802734375
8192,256,Direct,TimesFM,0.03859836235642433,0.027611300349235535,0.513916015625
8192,256,Direct,Moirai 2.0,0.4357898235321045,0.3489076793193817,0.75048828125
8192,256,Extracted,Chronos-2,0.09921793639659882,0.06115301698446274,0.6455026455026455
8192,256,Extracted,TimesFM,0.080853171646595,0.04849274083971977,0.6302083333333334
8192,256,Extracted,Moirai 2.0,0.09199890494346619,0.0647745281457901,0.7105263157894737
8192,512,Direct,Chronos-2,0.09498515725135803,0.0611063614487648,0.52978515625
8192,512,Direct,TimesFM,0.05471599102020264,0.0442177914083004,0.5821533203125
8192,512,Direct,Moirai 2.0,0.4829694926738739,0.43115538358688354,0.80596923828125
8192,512,Extracted,Chronos-2,0.15416042506694794,0.07759533822536469,0.680601092896175
8192,512,Extracted,TimesFM,0.10838109999895096,0.059923987835645676,0.5658110119047619
8192,512,Extracted,Moirai 2.0,0.08573915809392929,0.057072367519140244,0.6919191919191919
8192,1024,Direct,Chronos-2,0.3744010925292969,0.22043898701667786,0.536895751953125
8192,1024,Direct,TimesFM,0.2102193683385849,0.0838259905576706,0.554534912109375
8192,1024,Direct,Moirai 2.0,0.4911629855632782,0.37278416752815247,0.752532958984375
8192,1024,Extracted,Chronos-2,0.3455270826816559,0.12362834066152573,0.7358465608465609
8192,1024,Extracted,TimesFM,0.16433283686637878,0.09083353728055954,0.5685656935656935
8192,1024,Extracted,Moirai 2.0,0.1437767595052719,0.07530886679887772,0.685635198135198
